date,time,username,wrist,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
30/6/17,13:51:15:847724020,viktor,0,0,0.265,-0.7814,-0.0076,-0.059,0.0325,-2.9296
30/6/17,13:51:16:246945023,viktor,0,0,0.6722,-1.1233,-0.2344,-0.1757,0.0208,0.1269
30/6/17,13:51:16:446233987,viktor,0,0,0.4399,-1.4817,0.0722,-0.9105,0.1063,-2.4367
30/6/17,13:51:16:646117985,viktor,0,0,0.3031,-0.8125,0.0888,0.1199,-0.4099,-2.9336
30/6/17,13:51:16:846738994,viktor,0,0,0.4814,-0.9312,0.0359,0.0527,0.4379,2.4922
30/6/17,13:51:17:46806991,viktor,0,0,0.4044,-0.8056,-0.0956,0.6925,-0.2179,2.575
30/6/17,13:51:17:246767997,viktor,0,0,0.632,-1.129,-0.2982,0.0548,-0.1896,0.4473
30/6/17,13:51:17:446569025,viktor,0,0,0.667,-1.3503,-0.088,-0.8094,-0.7938,-1.4348
30/6/17,13:51:17:646152973,viktor,0,0,0.2704,-0.8633,0.1293,-0.4173,-0.1904,-2.6759
30/6/17,13:51:17:846502006,viktor,0,0,0.469,-1.074,0.0219,0.0388,1.1491,1.6982
30/6/17,13:51:18:46802997,viktor,0,0,0.2985,-0.7172,-0.0693,0.2326,0.4321,2.1009
30/6/17,13:51:18:246815025,viktor,0,0,0.6364,-1.0452,-0.24,0.1163,-0.1033,1.0822
30/6/17,13:51:18:446740984,viktor,0,0,0.5683,-1.2486,-0.131,-0.4556,-0.5281,-1.2407
30/6/17,13:51:18:646052002,viktor,0,0,0.2911,-0.7748,0.0163,-0.2345,-0.0148,-2.5884
30/6/17,13:51:18:846947014,viktor,0,0,0.4477,-1.1574,-0.0172,-0.1081,0.4016,0.67
30/6/17,13:51:19:46791970,viktor,0,0,0.2424,-0.7421,-0.0549,0.5714,-0.0506,2.1356
30/6/17,13:51:19:247058987,viktor,0,0,0.6028,-1.0966,-0.3046,0.1674,-0.5065,1.0156
30/6/17,13:51:19:446731984,viktor,0,0,0.4852,-1.3397,-0.0763,-0.8579,0.0096,-1.4015
30/6/17,13:51:19:645977020,viktor,0,0,0.3017,-0.8366,0.0718,-0.2701,-0.4678,-2.701
30/6/17,13:51:19:847127020,viktor,0,0,0.4082,-1.0859,-0.0375,0.0848,-0.105,0.287
30/6/17,13:51:20:46733021,viktor,0,0,0.372,-0.819,-0.2379,0.3006,0.1531,2.6873
30/6/17,13:51:20:246771991,viktor,0,0,0.6363,-0.7532,-0.2972,-0.0726,-0.1945,1.453
30/6/17,13:51:20:446739971,viktor,0,0,0.709,-1.1893,-0.2303,-0.1418,-1.4683,-1.2643
30/6/17,13:51:20:646055996,viktor,0,0,0.3275,-0.7846,-0.0344,0.0436,-0.3678,-2.9826
30/6/17,13:51:20:846733987,viktor,0,0,0.2957,-0.9224,-0.0462,0.1208,0.0853,-0.2949
30/6/17,13:51:21:46055972,viktor,0,0,0.5468,-1.2653,-0.2362,0.1492,0.5586,3.5731
30/6/17,13:51:21:246074974,viktor,0,0,0.5656,-0.8049,-0.1815,0.4349,-0.0852,1.4384
30/6/17,13:51:21:446759998,viktor,0,0,0.7335,-1.3042,-0.2887,-0.4351,0.0151,-1.1675
30/6/17,13:51:21:645960986,viktor,0,0,0.2843,-0.9344,-0.0459,-0.3433,-0.1396,-3.1056
30/6/17,13:51:21:846737980,viktor,0,0,0.2854,-0.9109,0.0746,0.079,0.0688,-1.55
30/6/17,13:51:22:46733021,viktor,0,0,0.5291,-1.239,-0.1573,0.3893,-0.2878,3.0852
30/6/17,13:51:22:247101008,viktor,0,0,0.5319,-0.7638,-0.1285,0.3973,-0.0524,2.0416
30/6/17,13:51:22:446877002,viktor,0,0,0.5509,-1.4469,-0.1684,-0.159,0.5247,-0.2822
30/6/17,13:51:22:646080970,viktor,0,0,0.4053,-0.7735,-0.0511,-0.0841,-0.5589,-2.2833
30/6/17,13:51:22:846728026,viktor,0,0,0.2938,-0.9424,0.0928,-0.5436,0.4212,-1.1527
30/6/17,13:51:23:46966016,viktor,0,0,0.514,-1.0203,-0.2959,0.7219,-0.1907,1.6697
30/6/17,13:51:23:246728003,viktor,0,0,0.4652,-0.6219,-0.1181,0.5532,0.4083,1.6534
30/6/17,13:51:23:446627974,viktor,0,0,0.5604,-1.2123,-0.2765,-0.395,0.0046,0.5489
30/6/17,13:51:23:646005988,viktor,0,0,0.5762,-1.1338,-0.0781,-0.2823,-1.0751,-1.604
30/6/17,13:51:23:846715986,viktor,0,0,0.2365,-0.8592,0.1061,-0.353,0.3114,-2.2969
30/6/17,13:51:24:46934008,viktor,0,0,0.4459,-1.1958,0.0135,0.3472,0.3493,1.618
30/6/17,13:51:24:246806979,viktor,0,0,0.3306,-0.7377,-0.0852,0.5862,-0.3914,2.0878
30/6/17,13:51:24:446799993,viktor,0,0,0.6213,-1.1723,-0.2599,0.0188,-0.2731,0.7516
30/6/17,13:51:24:645982027,viktor,0,0,0.4872,-1.1931,-0.0351,-0.5722,-0.5391,-1.4604
30/6/17,13:51:24:846868991,viktor,0,0,0.2804,-0.8719,0.075,-0.3699,0.1381,-2.3609
30/6/17,13:51:25:46871006,viktor,0,0,0.4056,-1.2032,0.0102,-0.2242,0.4722,0.8533
30/6/17,13:51:25:246993005,viktor,0,0,0.3337,-0.6742,-0.0606,-0.6249,1.6331,2.0391
